date,DailyDeaths
21-Mar-21,73
22-Mar-21,80
23-Mar-21,74
24-Mar-21,94
25-Mar-21,97
26-Mar-21,81
27-Mar-21,85
28-Mar-21,89
29-Mar-21,81
30-Mar-21,91
31-Mar-21,96
01-Apr-21,94
02-Apr-21,117
03-Apr-21,123
04-Apr-21,161
05-Apr-21,172
06-Apr-21,174
07-Apr-21,193
08-Apr-21,185
09-Apr-21,155
10-Apr-21,193
11-Apr-21,258
12-Apr-21,274
13-Apr-21,291
14-Apr-21,304
15-Apr-21,321
16-Apr-21,328
17-Apr-21,319
18-Apr-21,405
19-Apr-21,398
20-Apr-21,395
21-Apr-21,388
22-Apr-21,453
23-Apr-21,380
24-Apr-21,374
25-Apr-21,454
26-Apr-21,496
27-Apr-21,462
28-Apr-21,434
29-Apr-21,385
30-Apr-21,407
01-May-21,332
02-May-21,394
03-May-21,391
04-May-21,344
05-May-21,349
06-May-21,338
07-May-21,335
08-May-21,283
09-May-21,386
10-May-21,351
11-May-21,307
12-May-21,366
13-May-21,297
14-May-21,202
15-May-21,200
16-May-21,303
17-May-21,286
18-May-21,310
19-May-21,233
20-May-21,229
21-May-21,200
22-May-21,187
23-May-21,216
24-May-21,251
25-May-21,208
26-May-21,163
27-May-21,165
28-May-21,184
29-May-21,173
30-May-21,198
31-May-21,217
01-Jun-21,171
02-Jun-21,161
03-Jun-21,170
04-Jun-21,155
05-Jun-21,128
06-Jun-21,122
07-Jun-21,120
08-Jun-21,179
09-Jun-21,157
10-Jun-21,153
11-Jun-21,124
12-Jun-21,115
13-Jun-21,187
14-Jun-21,119
15-Jun-21,134
16-Jun-21,129
17-Jun-21,139
18-Jun-21,127
19-Jun-21,108
20-Jun-21,111
21-Jun-21,136
22-Jun-21,116
23-Jun-21,112
24-Jun-21,144
25-Jun-21,115
26-Jun-21,123
27-Jun-21,134
28-Jun-21,140
29-Jun-21,142
30-Jun-21,137
01-Jul-21,125
02-Jul-21,127
03-Jul-21,111
04-Jul-21,165
05-Jul-21,157
06-Jul-21,146
07-Jul-21,166
08-Jul-21,136
09-Jul-21,146
10-Jul-21,151
11-Jul-21,165
12-Jul-21,182
13-Jul-21,166
14-Jul-21,184
15-Jul-21,201
16-Jul-21,199
17-Jul-21,175
18-Jul-21,195
19-Jul-21,213
20-Jul-21,250
21-Jul-21,213
22-Jul-21,226
23-Jul-21,210
24-Jul-21,259
25-Jul-21,268
26-Jul-21,322
27-Jul-21,357
28-Jul-21,303
29-Jul-21,292
30-Jul-21,270
31-Jul-21,286
01-Aug-21,366
02-Aug-21,411
03-Aug-21,378
04-Aug-21,409
05-Aug-21,434
06-Aug-21,458
07-Aug-21,387
08-Aug-21,542
09-Aug-21,588
10-Aug-21,508
11-Aug-21,536
12-Aug-21,568
13-Aug-21,527
14-Aug-21,466
15-Aug-21,620
16-Aug-21,655
17-Aug-21,625
18-Aug-21,583
19-Aug-21,564
20-Aug-21,555
21-Aug-21,544
22-Aug-21,684
23-Aug-21,610
24-Aug-21,709
25-Aug-21,665
26-Aug-21,694
27-Aug-21,571
28-Aug-21,614
29-Aug-21,581
30-Aug-21,669
31-Aug-21,643
01-Sep-21,599
02-Sep-21,595
03-Sep-21,561
04-Sep-21,515
05-Sep-21,610
06-Sep-21,583
07-Sep-21,635
08-Sep-21,538
09-Sep-21,505
10-Sep-21,445
11-Sep-21,444
12-Sep-21,487
13-Sep-21,448
14-Sep-21,408
15-Sep-21,452
16-Sep-21,453
17-Sep-21,364
18-Sep-21,355
19-Sep-21,391
20-Sep-21,344
21-Sep-21,379
22-Sep-21,286
23-Sep-21,317
24-Sep-21,284
25-Sep-21,280
26-Sep-21,288
27-Sep-21,289
28-Sep-21,239
29-Sep-21,272
30-Sep-21,268
01-Oct-21,235
02-Oct-21,217
03-Oct-21,229
04-Oct-21,238
05-Oct-21,216
06-Oct-21,216
07-Oct-21,233
08-Oct-21,185
09-Oct-21,173
10-Oct-21,222
11-Oct-21,276
12-Oct-21,213
13-Oct-21,194
14-Oct-21,223
15-Oct-21,197
16-Oct-21,181
17-Oct-21,199
18-Oct-21,181
19-Oct-21,167
20-Oct-21,162
21-Oct-21,178
22-Oct-21,165
23-Oct-21,124
24-Oct-21,171
25-Oct-21,140
26-Oct-21,156
27-Oct-21,197
28-Oct-21,159
29-Oct-21,123
30-Oct-21,128
31-Oct-21,177
01-Nov-21,153
02-Nov-21,160
03-Nov-21,147
04-Nov-21,158
05-Nov-21,132
06-Nov-21,120
07-Nov-21,126
08-Nov-21,140
09-Nov-21,112
10-Nov-21,135
11-Nov-21,123
12-Nov-21,109
13-Nov-21,124
14-Nov-21,125
15-Nov-21,105
16-Nov-21,134
17-Nov-21,125
18-Nov-21,103
19-Nov-21,100
20-Nov-21,118
21-Nov-21,104
22-Nov-21,89
23-Nov-21,140
24-Nov-21,95
25-Nov-21,96
26-Nov-21,86
27-Nov-21,87
28-Nov-21,80
29-Nov-21,82
30-Nov-21,119
01-Dec-21,82
02-Dec-21,76
03-Dec-21,78
04-Dec-21,58
05-Dec-21,76
06-Dec-21,77
07-Dec-21,79
08-Dec-21,90
09-Dec-21,78
10-Dec-21,79
11-Dec-21,58
12-Dec-21,61
13-Dec-21,42
14-Dec-21,67
15-Dec-21,52
16-Dec-21,63
17-Dec-21,46
18-Dec-21,41
19-Dec-21,50
20-Dec-21,41
21-Dec-21,43
22-Dec-21,44
23-Dec-21,51
24-Dec-21,44
25-Dec-21,42
26-Dec-21,52
27-Dec-21,34
28-Dec-21,40
29-Dec-21,53
30-Dec-21,45
31-Dec-21,34
01-Jan-22,33
02-Jan-22,41
03-Jan-22,22
04-Jan-22,34
05-Jan-22,42
06-Jan-22,24
07-Jan-22,19
08-Jan-22,26
09-Jan-22,31
10-Jan-22,37
11-Jan-22,25
12-Jan-22,32
13-Jan-22,30
14-Jan-22,24
15-Jan-22,18
16-Jan-22,31
17-Jan-22,20
18-Jan-22,18
19-Jan-22,19
20-Jan-22,20
21-Jan-22,20
22-Jan-22,30
23-Jan-22,28
24-Jan-22,21
25-Jan-22,23
26-Jan-22,29
27-Jan-22,30
28-Jan-22,23
29-Jan-22,24
30-Jan-22,44
31-Jan-22,30
01-Feb-22,50
02-Feb-22,59
03-Feb-22,61
04-Feb-22,57
05-Feb-22,64
06-Feb-22,85
07-Feb-22,104
08-Feb-22,114
09-Feb-22,116
10-Feb-22,130
11-Feb-22,143
12-Feb-22,133
13-Feb-22,148
14-Feb-22,168
15-Feb-22,167
16-Feb-22,185
17-Feb-22,182
18-Feb-22,187
19-Feb-22,191
20-Feb-22,242
21-Feb-22,236
22-Feb-22,223
23-Feb-22,227
24-Feb-22,226
25-Feb-22,214
26-Feb-22,224
27-Feb-22,241
28-Feb-22,207
01-Mar-22,226
02-Mar-22,203
03-Mar-22,172
04-Mar-22,154
05-Mar-22,154
06-Mar-22,201
07-Mar-22,168
08-Mar-22,144
09-Mar-22,173
10-Mar-22,139
11-Mar-22,120
12-Mar-22,139
13-Mar-22,118
14-Mar-22,114
15-Mar-22,117
16-Mar-22,109
17-Mar-22,98
18-Mar-22,91
19-Mar-22,72
20-Mar-22,60
21-Mar-22,52
22-Mar-22,73
23-Mar-22,67
24-Mar-22,63
25-Mar-22,52
26-Mar-22,54
27-Mar-22,50
28-Mar-22,42
29-Mar-22,46
30-Mar-22,49
31-Mar-22,46
01-Apr-22,36
02-Apr-22,37
03-Apr-22,38
04-Apr-22,53
05-Apr-22,39
06-Apr-22,44
07-Apr-22,41
08-Apr-22,36
