Conference,YEAR,TYPE,ARCHITECTURE,TECHNOLOGY,AREA,SNDR_plot_dB,P_fsnyq_pJ,fin_hf_Hz,fsnyq_Hz,FOMW_hf_fJ__conv_step,FOMS_hf_dB,TITLE,ABSTRACT,AUTHORS,sndr_a,p_fs_pJ_a,sndr_b,p_fs_pJ_b,SNR_a,f_a,SNR_b,f_b,ff,Envelope_a,Envelope_b
ISSCC,1997,NQ,SAR,1,2.155,56.5,60000,100000,200000,109339.8037,125.7501875,"A MOSFET-only, 10 b, 200 ksample/s A/D converter capable of 12 b untrimmed linearity","The linearity of a successive approximation (SA) A/D converter is typically limited by its passive network. Published converters based on capacitive arrays or resistive ladders are limited to around 10 b if no trimming or calibration is used. Although static measurements show that MOS transistors are capable of excellent matching, few MOSFET-only converters achieved more than 10 b accuracy without self-calibration. This A/D converter adopts the current division ladder network based on MOSFETs. Extensive measurements on the MOSFET ladders with different resolutions and geometry establish the achievable linearity ","Hammerschmied, C.; Qiuting Huang",40,0.081694071,60,0.158113883,144.0408071,10000,164.0408071,10000,100,0.669364343,184.7623762
ISSCC,1997,NQ,Folding,1.00 BiCMOS,7,64,6000,25000000,50000000,4632.774155,143.2081875,A 12 b 50 M sample/s cascaded folding and interpolating ADC,"The architecture of this 12 b ADC is based on a three-stage conversion, using cascaded folding and interpolating techniques. Compared to other multi-stage ADC architectures, folding and interpolating ADCs are based on non-linear analog pre-processing. This architecture is an attractive solution for high-resolution ADCs, as extremely linear circuit topologies are not required. To increase the resolution of folding and interpolating ADCs above the published 8 b examples, without raising the number of parallel input stages or the number of comparators in the fine-comparator, a cascaded folding and interpolating architecture is introduced. The ADC achieves 64 dB signal-to-noise ratio (SNR) and 75 dB spurious-free dynamic range (SFDR), while quantizing a 15 MHz full-scale input signal at 50 MSample/s. The 7.0 mm2 ADC is fabricated in a 13 GHz, 1 ?m BiCMOS process and dissipates 300 mW from a single 5.0 V supply. The device is mounted in a standard 44-pin plastic package ","Vorenkamp, P.; Roovers, R.",50,0.258368976,70,1.58113883,124.0408071,100000,144.0408071,100000,125.8925412,0.669364343,184.7623762
ISSCC,1997,NQ,Folding,0.5,1,53.5,3400,25000000,50000000,8762.35722,135.2069109,A 170 mW 10 b 50 Msample/s CMOS ADC in 1 mm2,"This 10 b AD-converter at a sample rate of 5O MSample/s, embedded in 50mm2 of digital circuitry, shows 8.7 effective bits. A straight flash-architecture would need 1023 accurate fast comparators. With a 2 V input range, a comparator offset voltage of no more than 1 mV can be tolerated. Taking into account that the 1 mV is a 3-6 sigma value, leads to a large chip. If, however, the signals to the comparator are amplified before the critical decision, simple small comparators would suffice. To cope with the dynamic offset caused by the clocking and latch action of the comparator itself, the architecture must tolerate comparator offsets of up to 60-80 mV. Hence, a gain of at least 30 is necessary. A single amplifier however, could not handle this, as the input range of 2 V would be amplified to 60 V. The approach here is to use a distributed amplifier ","Bult, K.; Buchwald, A.; Laskowski, J.",60,0.817128185,80,15.8113883,104.0408071,1000000,124.0408071,1000000,158.4893192,0.669364343,184.7623762
ISSCC,1997,NQ,Two-step,Bipolar,,58.4,44500,64000000,128000000,65521.32445,128.9030512,A 12 b 128 MSample/s ADC with 0.05 LSB DNL,"This analog-to-digital converter uses integrated dither, dynamic element matching, and output data scrambling to achieve SFDR of 85dB and DNL below 0.05LSB at l28MSample/s. This compares to about 0.5LSB DNL for slower 12b converters. The basic two-step flash architecture is shown. The ±0.25V input is amplified to ±1V and held in the track-and-hold circuit when the input clock rises. The 32 comparators in ADC1 produce an approximation that switches the 32 matched current sources in the main DAC. The residue is formed and amplified in the summer to ±0.5V and is converted by ADC2, an 8b folding-and-interpolating flash ADC. To allow low clock rates, there is no analog pipelining, and all analog settling from the track-to-hold transition to latching the result in ADC2 takes only 4.4ns. The ADC1 and ADC2 results added together form the 12b output. The total signal-to-data-output delay is slightly more than two cycles due to digital pipelining","Jewett, R.; Poulton, K.; Kuo-Chiang Hsieh; Doernberg, J.",70,2.584282682,90,158.113883,84.04080713,10000000,104.0408071,10000000,199.5262315,0.669364343,184.7623762
ISSCC,1997,NQ,Pipe,1.4,27.28,84.9,26000,2500000,5000000,1809.502089,157.7399666,A 15 b 5 MSample/s low-spurious CMOS ADC,"This 15b CMOS ADC at 5MSample/s has four stages with 5, 5, 5, and 6b each. The number of bits resolved per stage is set higher to achieve the same resolution with less accurate components. Resolving more bits per stage greatly simplifies op amp design and reduces the initial capacitor matching requirement. Furthermore, residue amplifiers with low feedback factors are less sensitive to summing-node parasitics. The first two 5b stages are calibrated using the remaining part of the ADC. Two stages are selected for calibration. The gain ofthe 5b residue amplifier is set to 16 to make room for digital correction. After digital correction, the chip has an 18b output. Performance up to 16b level can be tested after removing 2 LSBs corrupted by digital processing. System partitioning and multi-stage calibration solve two fundamental problems of capacitor matching and finite opamp gain ","Sung-Ung Kwak; Bang-Sup Song; Bacrania, K.",80,8.173157047,100,1581.13883,64.04080713,100000000,84.04080713,100000000,251.1886432,0.669364343,184.7623762
ISSCC,1997,OS,"SDSC, Pipe",0.6,31.8,89,220000,1250000,2500000,9549.661832,152.5654732,A 16b ?? pipeline ADC with 2.5 MHz output data-rate,"A 16b 2.5 MHz A/D converter in 0.6 ?m CMOS addresses the need for wide dynamic range A/D converters with bandwidths in excess of 1 MHz in multi-tone communication. This A/D converter combines the advantages of ?? and pipeline A/D conversion techniques to provide wide dynamic range at a low-oversampling ratio. The device operates at a 20 MHz clock rate, 2.5 MHz output rate (8× oversampling), and provides 89 dB SNR over a 1.25 MHz input bandwidth ","Brooks, T.L.; Robertson, D.H.; Kelly, D.F.; Del Muro, A.; Harston, S.W.",90,25.84875741,110,15811.3883,44.04080713,1000000000,64.04080713,1000000000,316.227766,0.669364343,184.7623762
ISSCC,1997,OS,SDSC,0.5,0.39,81,275000,1000,2000,29987.33471,143.5963731,Low-voltage double-sampled ?? converters,"In theory, double-sampling in second-order ?? analog-to-digital converters (ADC) can enhance the signal-to-noise ratio (SNR) by 15 dB. In practice however, the SNR performance is usually severely degraded because of mismatches occurring in switched-capacitors (SC). This paper introduces a simple method to solve this problem. Regarding ?? digital-to-analog converters (DAC), in addition to double-sampling, the accompanying use of internal decimation helps to relax the bandwidth requirements of the opamps. Both circuitries are to be operational to supply voltages as low as 1.5 V by using clock bootstrapping. Chip implementation is in double-poly, 2-metal technology featuring 0.5 ?m minimum channel lengths","Senderowicz, D.; Nicollini, G.; Pernici, S.; Nagari, A.; Confalonieri, P.; Dallavalle, C.",100,81.75032678,120,158113.883,24.04080713,10000000000,44.04080713,10000000000,398.1071706,0.669364343,184.7623762
ISSCC,1997,OS,"SDSC, TI",0.6,2.73,75,180000,200000,400000,39165.85164,139.436975,A two-path bandpass ?? modulator for digital IF extraction at 20 MHz,"There is expanding interest in the possibility of moving the intermediate frequency (IF) signal processing in radio receivers and radio test equipment from the analog domain into the digital domain. Digitization of IF processing confers several important advantages, including greater reliability, potentially lower power consumption, and improved performance as technology scales. Unfortunately, as analog signal processing is eliminated and the A/D conversion is moved away from baseband, the signal that must be digitized has a larger dynamic range, and the converter must operate at a higher sampling rate. This work introduces a two-path, switched-capacitor architecture for a bandpass ?? modulator that is suited to digitizing narrowband radio signals with large dynamic range. A fourth-order bandpass modulator is implemented in a standard 0.6 ?m, single-poly, triple-metal CMOS process. Operating from a single 3.3 V supply, the modulator digitizes a 200 kHz signal centered at an IF of 20 MHz with an extrapolated dynamic range of 75 dB ","Ong, A.K.; Wooley, B.A.",110,258.5468935,,,18.02020721,20000000000,24.04080713,1E+11,501.1872336,0.669364343,184.7623762
ISSCC,1997,OS,SDCT,HBT,0.5625,44.1,11200,62600000,125200000,85371.46628,120.604463,A bandpass ?? modulator with 92 dB SNR and center frequency continuously programmable from 0 to 70 MHz,"Use of a bandpass ?? modulator permits direct conversion of an analog signal to digital form at IF frequencies. This allows the ADC to be moved closer to the receiver front end. Moving the digital interface closer to the antenna reduces receiver analog circuit complexity, eliminates DC-offset cancellation, inphase/quadrature (I/Q) gain calibration, dual I/Q mixers and improves system robustness as mixing is in the digital domain. This second-order bandpass ?? modulator is targeted for an airborne radar system but is also expected to find use in a variety of communications applications. Measurements yield signal to noise+distortion ratio (SNR) from 92 dB (15 b) in narrowband ( 366 kHz) to 44 dB (7 b) in broadband (62.6 MHz) about a center frequency of 55.5 MHz. Modulator sampling rate is 4 GHz and it is implemented in AlInAs-InGaAs HBT technology. The performance represents an improvement of approximately a factor of 10 in bandwidth, resolution and center frequency over other reported bandpass modulators ","Raghavan, G.; Jensen, J.F.; Walden, R.H.; Posey, W.P.",120,817.6908739,,,,,18.02020721,2E+11,630.9573445,0.669364343,184.7623762
ISSCC,1997,OS,"SDCT, Complex",0.8,4.32,62,325000,200000,400000,315924.426,123.8708664,A quadrature bandpass ?? modulator for digital radio,"In a bandpass ?? modulator, bandpass filtering and feedback around a low-resolution quantizer shape the noise spectrum, facilitating accurate A/D conversion on narrow-band input signals. This is extended to the quadrature, or complex, case if a complex filter - having complex-valued coefficients and thus not restricted to a symmetrical frequency response - is placed in a ?? loop. The modulator performs a “complex” A/D conversion on the pair of analog inputs, that are in phase-quadrature, and it has two high-speed bit stream outputs: one represents the real output; the other the imaginary output. When combined, these outputs form a complex signal that accurately represents the complex input within a narrow frequency band. This quadrature modulator is useful in architectures for a single-chip digital-radio receiver. The receiver ideally has no image response, and thus the bulky narrow-band image-rejection filter in the RF stage of a single-path receiver can be replaced with a broadband one. The architecture alleviates many problems of the direct-conversion receiver, often considered for single-chip implementations, since the input signal is mixed to a non-zero IF where 1/f noise and DC offsets cause no problem and self-interference is not an issue because oscillator frequency is offset from the carrier frequency. The quadrature modulator IC uses standard fully-differential switched-capacitor circuit techniques and is implemented in 0.8 ?m CMOS technology ","Jantzi, S.; Martin, K.; Sedra, A.",,,,,,,,,794.3282347,0.669364343,184.7623762
