ascii code,value,link
0,NULL,120px-Venn_0000_0000.svg.png
1,SOH,120px-Venn_0000_0001.svg.png
2,STX,120px-Venn_0000_0010.svg.png
3,ETX,120px-Venn_0000_0011.svg.png
4,EOT,120px-Venn_0000_0100.svg.png
5,ENQ,120px-Venn_0000_0101.svg.png
6,ACK,120px-Venn_0000_0110.svg.png
7,BEL,120px-Venn_0000_0111.svg.png
8,BS,120px-Venn_0000_1000.svg.png
9,HT,120px-Venn_0000_1001.svg.png
10,LF,120px-Venn_0000_1010.svg.png
11,VT,120px-Venn_0000_1011.svg.png
12,FF,120px-Venn_0000_1100.svg.png
13,CR,120px-Venn_0000_1101.svg.png
14,SO,120px-Venn_0000_1110.svg.png
15,SI,120px-Venn_0000_1111.svg.png
16,DLE,120px-Venn_0001_0000.svg.png
17,DC1,120px-Venn_0001_0001.svg.png
18,DC2,120px-Venn_0001_0010.svg.png
19,DC3,120px-Venn_0001_0011.svg.png
20,DC4,120px-Venn_0001_0100.svg.png
21,NAK,120px-Venn_0001_0101.svg.png
22,SYN,120px-Venn_0001_0110.svg.png
23,ETB,120px-Venn_0001_0111.svg.png
24,CAN,120px-Venn_0001_1000.svg.png
25,EM,120px-Venn_0001_1001.svg.png
26,SUB,120px-Venn_0001_1010.svg.png
27,ESC,120px-Venn_0001_1011.svg.png
28,FS,120px-Venn_0001_1100.svg.png
29,GS,120px-Venn_0001_1101.svg.png
30,RS,120px-Venn_0001_1110.svg.png
31,US,120px-Venn_0001_1111.svg.png
32, ,120px-Venn_0010_0000.svg.png
33,!,120px-Venn_0010_0001.svg.png
34,"""",120px-Venn_0010_0010.svg.png
35,#,120px-Venn_0010_0011.svg.png
36,$,120px-Venn_0010_0100.svg.png
37,%,120px-Venn_0010_0101.svg.png
38,&,120px-Venn_0010_0110.svg.png
39,',120px-Venn_0010_0111.svg.png
40,(,120px-Venn_0010_1000.svg.png
41,),120px-Venn_0010_1001.svg.png
42,*,120px-Venn_0010_1010.svg.png
43,+,120px-Venn_0010_1011.svg.png
44,",",120px-Venn_0010_1100.svg.png
45,-,120px-Venn_0010_1101.svg.png
46,.,120px-Venn_0010_1110.svg.png
47,/,120px-Venn_0010_1111.svg.png
48,0,120px-Venn_0011_0000.svg.png
49,1,120px-Venn_0011_0001.svg.png
50,2,120px-Venn_0011_0010.svg.png
51,3,120px-Venn_0011_0011.svg.png
52,4,120px-Venn_0011_0100.svg.png
53,5,120px-Venn_0011_0101.svg.png
54,6,120px-Venn_0011_0110.svg.png
55,7,120px-Venn_0011_0111.svg.png
56,8,120px-Venn_0011_1000.svg.png
57,9,120px-Venn_0011_1001.svg.png
58,:,120px-Venn_0011_1010.svg.png
59,;,120px-Venn_0011_1011.svg.png
60,<,120px-Venn_0011_1100.svg.png
61,=,120px-Venn_0011_1101.svg.png
62,>,120px-Venn_0011_1110.svg.png
63,?,120px-Venn_0011_1111.svg.png
64,@,120px-Venn_0100_0000.svg.png
65,A,120px-Venn_0100_0001.svg.png
66,B,120px-Venn_0100_0010.svg.png
67,C,120px-Venn_0100_0011.svg.png
68,D,120px-Venn_0100_0100.svg.png
69,E,120px-Venn_0100_0101.svg.png
70,F,120px-Venn_0100_0110.svg.png
71,G,120px-Venn_0100_0111.svg.png
72,H,120px-Venn_0100_1000.svg.png
73,I,120px-Venn_0100_1001.svg.png
74,J,120px-Venn_0100_1010.svg.png
75,K,120px-Venn_0100_1011.svg.png
76,L,120px-Venn_0100_1100.svg.png
77,M,120px-Venn_0100_1101.svg.png
78,N,120px-Venn_0100_1110.svg.png
79,O,120px-Venn_0100_1111.svg.png
80,P,120px-Venn_0101_0000.svg.png
81,Q,120px-Venn_0101_0001.svg.png
82,R,120px-Venn_0101_0010.svg.png
